date,ticker,score,weight,bm_weight,active_weight,grp_Accounting,grp_Price,grp_Sellside,grp_Conditioning,grp_Factor
2019-01-04,PLD,-0.1658,0.0047,0.02,-0.0153,-0.0911,-0.1938,0.2695,0.5895,-0.0396
2019-01-04,AMD,-0.2192,0.0,0.02,-0.02,0.3872,0.8674,-0.8188,0.5649,-0.0396
2019-01-04,CRM,-0.8338,0.0003,0.02,-0.0197,0.2479,0.5839,0.5543,0.448,-0.0396
2019-01-04,NFLX,-0.1188,0.0165,0.02,-0.0035,0.0259,0.3876,-0.1135,0.6042,-0.0396
2019-01-18,AAPL,0.8928,0.0889,0.02,0.0689,0.1359,-0.3198,-0.9164,0.659,0.0134
2019-01-18,MSFT,-0.4303,0.0398,0.02,0.0198,0.0326,0.2137,0.2906,0.6594,0.0134
2019-01-18,GOOGL,0.6572,0.0919,0.02,0.0719,-0.0484,0.0031,0.246,0.6446,0.0134
2019-01-18,AMZN,1.1549,0.0997,0.02,0.0797,0.3935,0.3433,0.0356,0.656,0.0134
2019-01-18,META,-0.0448,0.0486,0.02,0.0286,-0.1842,-0.0987,0.219,0.6567,0.0134
2019-01-18,NVDA,1.7538,0.0715,0.02,0.0515,0.4449,-0.3934,-1.0311,0.6013,0.0134
2019-01-18,TSLA,-1.1949,0.0001,0.02,-0.0199,0.5006,0.697,0.1824,0.6594,0.0134
2019-01-18,PLTR,-0.1767,0.0013,0.02,-0.0187,0.2068,-0.5544,0.4078,0.5736,0.0134
2019-01-18,AVGO,0.2313,0.0127,0.02,-0.0073,-0.1685,0.5271,0.359,0.5131,0.0134
2019-01-18,MU,-0.3702,0.0001,0.02,-0.0199,-0.165,-0.2271,-0.979,0.4792,0.0134
2019-01-18,GEV,-0.2402,0.0045,0.02,-0.0155,-0.1121,-0.5544,-0.1757,0.4835,0.0134
2019-01-18,VRT,-0.0194,0.0001,0.02,-0.0199,-0.1001,-0.3769,0.6033,0.5585,0.0134
2019-01-18,BE,1.9723,0.0602,0.02,0.0402,-0.2294,-0.175,-0.3973,0.6288,0.0134
2019-01-18,LITE,1.2513,0.0202,0.02,0.0002,-0.2302,0.067,-0.0482,0.6377,0.0134
2019-01-18,000660,-0.2701,0.0001,0.02,-0.0199,-0.412,-0.2219,-1.0679,0.6782,0.0134
2019-01-18,005930,-0.5652,0.0005,0.02,-0.0195,-0.3018,-0.3716,-0.779,0.5118,0.0134
2019-01-18,UNH,-0.0477,0.0303,0.02,0.0103,-0.0571,-0.0299,0.2058,0.3779,0.0134
2019-01-18,LLY,-0.1435,0.0147,0.02,-0.0053,0.0224,0.4658,0.4959,0.6314,0.0134
2019-01-18,ISRG,-0.0306,0.0074,0.02,-0.0126,-0.002,0.438,0.0916,0.6798,0.0134
2019-01-18,ABBV,-0.5318,0.0003,0.02,-0.0197,-0.2074,0.009,0.0147,0.6724,0.0134
2019-01-18,REGN,4.9089,0.0654,0.02,0.0454,0.6062,0.4857,0.6526,0.6314,0.0134
2019-01-18,JPM,-0.3436,0.0415,0.02,0.0215,-0.1052,-0.3054,-0.2718,0.3784,0.0134
2019-01-18,V,-0.0451,0.0397,0.02,0.0197,0.2091,0.1674,0.0099,0.6594,0.0134
2019-01-18,MA,-0.4126,0.0221,0.02,0.0021,0.2689,0.2496,0.1677,0.6536,0.0134
2019-01-18,BLK,0.2791,0.0079,0.02,-0.0121,-0.1507,-0.3341,-0.5251,0.3743,0.0134
2019-01-18,SPGI,0.2099,0.0057,0.02,-0.0143,0.1691,-0.0536,-0.3508,0.6367,0.0134
2019-01-18,GS,-0.3449,0.0092,0.02,-0.0108,-0.0752,-0.2858,-0.3722,0.3744,0.0134
2019-01-18,COST,-0.1903,0.0113,0.02,-0.0087,0.1051,-0.2348,0.0598,0.5097,0.0134
2019-01-18,HD,-0.2453,0.024,0.02,0.004,0.5915,-0.0884,0.5752,0.5764,0.0134
2019-01-18,PG,-0.1429,0.0272,0.02,0.0072,-0.0896,0.0198,0.2338,0.6828,0.0134
2019-01-18,MCD,-0.0586,0.0003,0.02,-0.0197,-0.1259,-0.0689,0.3221,0.6598,0.0134
2019-01-18,WMT,-0.0641,0.0251,0.02,0.0051,0.1048,-0.122,0.3283,0.5891,0.0134
2019-01-18,CAT,-0.281,0.0096,0.02,-0.0104,-0.0441,0.1521,0.0506,0.6658,0.0134
2019-01-18,HON,-0.1424,0.0124,0.02,-0.0076,-0.0774,-0.3661,-0.1907,0.6558,0.0134
2019-01-18,DE,-0.3592,0.0062,0.02,-0.0138,0.0477,0.3428,-0.045,0.5917,0.0134
2019-01-18,UNP,-0.3089,0.01,0.02,-0.01,-0.088,0.4337,0.1291,0.6782,0.0134
2019-01-18,LMT,-0.9396,0.0002,0.02,-0.0198,0.0619,-0.5103,0.0902,0.6628,0.0134
